uza,total
"Aguadilla-Isabela-San Sebastián, PR",1039074
"Akron, OH",4338909
"Albany-Schenectady, NY",8042307
"Albuquerque, NM",18188528
"Allentown-Bethlehem, PA-NJ",4643113
"Amarillo, TX",1532114
"Anchorage, AK",26988116
"Ann Arbor, MI",4154440
"Antioch, CA",8752115
"Appleton, WI",1544349
"Asheville, NC",1896093
"Atlanta, GA",84136890
"Atlantic City-Ocean City-Villas, NJ",10553138
"Augusta-Richmond County, GA-SC",2029797
"Austin, TX",23106442
"Bakersfield, CA",4547448
"Baltimore, MD",89231994
"Barnstable Town, MA",8796185
"Baton Rouge, LA",3590735
"Bel Air-Aberdeen, MD",2035707
"Birmingham, AL",4289488
"Boise City, ID",2919686
"Bonita Springs-Estero, FL",3258558
"Boston, MA-NH",202814151
"Bradenton-Sarasota-Venice, FL",6678499
"Bremerton, WA",2616475
"Bridgeport-Stamford, CT-NY",63315166
"Brownsville, TX",1530980
"Buffalo, NY",12372096
"Canton, OH",2418087
"Cape Coral, FL",5021752
"Charleston, SC",4202021
"Charlotte, NC-SC",13093697
"Chattanooga, TN-GA",2591030
"Chicago, IL-IN",340892304
"Cincinnati, OH-KY",12461511
"Clarksville, TN-KY",1329602
"Cleveland, OH",28973838
"College Station-Bryan, TX",1219407
"Colorado Springs, CO",4611877
"Columbia, SC",3675152
"Columbus, GA-AL",1589665
"Columbus, OH",11221679
"Concord, NC",1515553
"Concord-Walnut Creek, CA",31598017
"Corpus Christi, TX",3483323
"Dallas-Fort Worth-Arlington, TX",76805301
"Davenport, IA-IL",2902889
"Dayton, OH",18239443
"Daytona Beach-Palm Coast-Port Orange, FL",3800527
"Deltona, FL",1642921
"Denton-Lewisville, TX",6434155
"Denver-Aurora, CO",51320216
"Des Moines, IA",4023579
"Detroit, MI",25543783
"Durham, NC",4299604
"El Paso, TX-NM",7641726
"Eugene, OR",4901319
"Evansville, IN",1307945
"Fairbanks, AK",254852
"Fargo, ND-MN",1657319
"Fayetteville, NC",2224682
"Fayetteville-Springdale-Rogers, AR-MO",1839094
"Flint, MI",3645914
"Fort Collins, CO",2907278
"Fort Wayne, IN",2052157
"Fresno, CA",6406420
"Gainesville, FL",2655561
"Galveston-Texas City, TX",135012
"Grand Rapids, MI",6528509
"Green Bay, WI",1375703
"Greensboro, NC",3119137
"Greenville, SC",1844927
"Gulfport-Biloxi, MS",1596492
"Harrisburg, PA",6322037
"Hartford, CT",16577189
"Hickory, NC",1057476
"Honolulu, HI",17128770
"Houston, TX",59978327
"Huntington, WV-KY-OH",1442123
"Huntsville, AL",1739834
"Indianapolis, IN",10918621
"Indio-Palm Desert-Palm Springs, CA",3358997
"Jackson, MS",1651085
"Jacksonville, FL",10526322
"Johnstown, PA",6256
"Kalamazoo, MI",1663739
"Kansas City, MO-KS",11408954
"Kennewick-Richland-Pasco, WA",3908915
"Kenosha, WI",62579
"Killeen, TX",1360570
"Kiryas Joel, NY",739279
"Kissimmee-St. Cloud, FL",3772392
"Knoxville, TN",3925263
"Lafayette, LA",1401092
"Lake Tahoe Region, CA-NV",1610273
"Lakeland, FL",1879696
"Lancaster-Manheim, PA",11768199
"Lansing, MI",3529068
"Laredo, TX",2060301
"Las Vegas-Henderson-Paradise, NV",25654089
"Lexington-Fayette, KY",2938457
"Lincoln, NE",2242962
"Little Rock, AR",3526911
"Livermore-Pleasanton-Dublin, CA",5735658
"Los Angeles-Long Beach-Anaheim, CA",248482005
"Louisville/Jefferson County, KY-IN",8063481
"Lubbock, TX",2068178
"Madison, WI",5115128
"Manteca, CA",1133630
"McAllen, TX",4417230
"McKinney-Frisco, TX",2470262
"Memphis, TN-MS-AR",7294019
"Miami-Fort Lauderdale, FL",112487892
"Michigan City-La Porte, IN-MI",1529801
"Middletown, NY",407763
"Milwaukee, WI",13106027
"Minneapolis-St. Paul, MN",49455849
"Mission Viejo-Lake Forest-Laguna Niguel, CA",9991866
"Mobile, AL",1866227
"Modesto, CA",3151165
"Montgomery, AL",1569302
"Morgantown, WV",631617
"Myrtle Beach-North Myrtle Beach, SC-NC",1635620
"Nashua, NH-MA",1099336
"Nashville-Davidson, TN",15521091
"Navarre-Miramar Beach-Destin, FL",1424231
"New Haven, CT",12403001
"New Orleans, LA",13144701
"New York-Jersey City-Newark, NY-NJ",1246092478
"Ogden-Layton, UT",10959971
"Oklahoma City, OK",6506923
"Olympia-Lacey, WA",2519214
"Omaha, NE-IA",5549869
"Orlando, FL",25236982
"Oxnard-San Buenaventura (Ventura), CA",9111480
"Palm Bay-Melbourne, FL",4011386
"Palmdale-Lancaster, CA",12642850
"Pensacola, FL-AL",2775272
"Peoria, IL",2074394
"Philadelphia, PA-NJ-DE-MD",198084015
"Phoenix West-Goodyear-Avondale, AZ",3614127
"Phoenix-Mesa-Scottsdale, AZ",40594154
"Pittsburgh, PA",35476244
"Port St. Lucie, FL",3149278
"Portland, ME",12681339
"Portland, OR-WA",47249294
"Poughkeepsie-Newburgh, NY",16591325
"Providence, RI-MA",27158981
"Provo-Orem, UT",7676279
"Raleigh, NC",7975381
"Reading, PA",2268691
"Reno, NV-CA",5723154
"Richmond, VA",7256472
"Riverside-San Bernardino, CA",32415510
"Roanoke, VA",1572596
"Rochester, NY",6898054
"Rock Hill, SC",930043
"Rockford, IL",1935626
"Round Lake Beach-McHenry-Grayslake, IL-WI",7668205
"Sacramento, CA",25839263
"Salem, OR",2545130
"Salt Lake City, UT",29198973
"San Antonio, TX",19978209
"San Diego, CA",73824393
"San Francisco-Oakland, CA",191989588
"San Jose, CA",48246553
"San Juan, PR",18169424
"Santa Barbara, CA",2513585
"Santa Clarita, CA",4299971
"Santa Rosa, CA",3836235
"Savannah, GA",2299486
"Scranton, PA",2914236
"Seattle-Tacoma, WA",115161493
"Shreveport, LA",2576686
"South Bend, IN-MI",4673939
"Spokane, WA",5458730
"Springfield, MA-CT",5700701
"Springfield, MO",1723892
"St. Louis, MO-IL",32789159
"Stockton, CA",7727065
"Syracuse, NY",3976696
"Tallahassee, FL",2435893
"Tampa-St. Petersburg, FL",24480106
"Temecula-Murrieta-Menifee, CA",3119382
"The Woodlands-Conroe, TX",2286447
"Thousand Oaks, CA",4252317
"Toledo, OH-MI",3508193
"Tracy-Mountain House, CA",736302
"Trenton, NJ",19701244
"Tucson, AZ",9923048
"Tulsa, OK",4397982
"Victorville-Hesperia-Apple Valley, CA",4977901
"Virginia Beach-Norfolk, VA",13289125
"Washington-Arlington, DC-VA-MD",227726041
"Wasilla-Knik-Fairview-North Lakes, AK",655816
"Wichita, KS",3065102
"Wilmington, NC",1600374
"Winston-Salem, NC",3060492
"Winter Haven, FL",1759194
"Worcester, MA-CT",7957478
"York, PA",2095832
"Youngstown, OH",2184967